,abi,primary_naics_code_2017,company_2017,year_2017,business_status_code_2017,company_holding_status_2017,census_tract_2017,year_established_2017,employee_size_location_2017,sales_volume_location_2017,latitude_2017,longitude_2017,employee_size_location_2016,sales_volume_location_2016,neighborhood_avg_property_value,neighborhood_property_crimes,surrounding_neighborhood_avg_property_value,surrounding_neighborhood_property_crimes
707,707740050,44511003,ALDI,2017,2,,832600,,10.0,2556.0,41.914559999999994,-87.65475,10.0,2655.0,2323.6412175402515,2194.0,2715.8490429603326,1324.875
708,712018640,44511003,ALDI,2017,2,,710300,,10.0,2556.0,41.75507,-87.66306999999999,10.0,2655.0,86.88925791321388,2156.0,363.0282390276211,1745.875
709,715499605,44511003,ALDI,2017,2,,190900,,10.0,2556.0,41.9313,-87.74302,10.0,2655.0,1413.9475951410525,1532.0,2173.302624678347,1317.0
710,716381959,44511003,ALDI,2017,2,,420800,,10.0,2556.0,41.773990000000005,-87.60539,10.0,2655.0,1665.0151716537698,982.0,356.64895318201286,1260.0
712,713246352,44511003,FOOTHILLS IGA MARKET,2017,2,,760801,1926.0,27.0,6900.0,41.98751,-87.8452,27.0,7169.0,606.0610245493265,671.0,505.37086713928596,816.1666666666666
713,206762221,44511003,TRADER JOE'S,2017,2,,50600,2002.0,85.0,21722.0,41.95016,-87.67535,85.0,22569.0,2331.236607773085,709.0,2675.0162630263285,1382.5
714,402809574,44511003,TRADER JOE'S,2017,2,,832600,,60.0,15333.0,41.914359999999995,-87.65514,60.0,15931.0,2323.6412175402515,2194.0,2715.8490429603326,1324.875
715,404172705,44511003,TRADER JOE'S,2017,2,,70200,,60.0,15333.0,41.93243,-87.64622,60.0,15931.0,2323.6412175402515,2194.0,2715.8490429603326,1324.875
716,406144317,44511003,TRADER JOE'S,2017,2,,320600,,60.0,15333.0,41.86805,-87.62534000000001,60.0,15931.0,7745.637617387157,5611.0,354.76775754518394,1033.7777777777778
717,609831227,44511003,TRADER JOE'S,2017,2,,81500,,80.0,20444.0,41.89343,-87.62634,80.0,21241.0,426.7393602152728,3170.0,2331.83720019887,1880.25
718,700313239,44511003,SAN MART INC,2017,2,,140500,,80.0,20444.0,41.9679,-87.73589,3.0,796.0,1508.1677810774,977.0,2724.1117391258813,790.5
719,403378208,44511002,SMITHFIELD FOODS,2017,2,,320100,,6.0,1534.0,41.88739,-87.6202,6.0,1593.0,7745.637617387157,5611.0,354.76775754518394,1033.7777777777778
720,151793577,44511003,WHOLE FOODS MARKET,2017,2,,30101,,230.0,58777.0,41.99108,-87.65965,230.0,61070.0,1960.401059162845,1037.0,2688.9416244944496,1091.6
721,242702298,44511003,WHOLE FOODS MARKET,2017,2,,280100,,250.0,63888.0,41.88179,-87.64716999999999,250.0,66380.0,396.288138612434,2539.0,2899.6601557510758,1565.3333333333333
722,465399756,44511003,WHOLE FOODS MARKET,2017,2,,842200,2009.0,190.0,48555.0,41.90932,-87.65343,190.0,50449.0,426.7393602152728,3170.0,2331.83720019887,1880.25
723,533772679,44511003,WHOLE FOODS MARKET,2017,2,,81600,,200.0,51110.0,41.89495,-87.62961,200.0,53104.0,426.7393602152728,3170.0,2331.83720019887,1880.25
724,641429014,44511003,WHOLE FOODS MARKET,2017,2,,120200,,190.0,48555.0,41.99049,-87.74894,190.0,50449.0,2913.2952888806126,254.0,2863.2066815605226,810.1666666666666
725,641527098,44511003,WHOLE FOODS MARKET,2017,2,,841900,,400.0,79989.0,41.86855,-87.63846,400.0,106209.0,396.288138612434,2539.0,2899.6601557510758,1565.3333333333333
726,643490386,44511003,WHOLE FOODS MARKET,2017,2,,61000,,150.0,38333.0,41.948479999999996,-87.64965,150.0,39828.0,2623.8200888679744,2591.0,2422.392803548667,884.4285714285714
727,948072251,44511003,WHOLE FOODS MARKET,2017,2,,62400,,50.0,12778.0,41.94045,-87.66826999999999,160.0,42483.0,2623.8200888679744,2591.0,2422.392803548667,884.4285714285714
728,991161191,44511003,WHOLE FOODS MARKET,2017,2,,71100,,200.0,51110.0,41.92524,-87.65329,200.0,53104.0,5792.703159256571,437.0,2473.730653204113,2392.5
729,700119538,44511003,NEWLY WEDS FOODS INC,2017,2,,200200,,3.0,767.0,41.92661,-87.7304,3.0,796.0,4546.082134203887,374.0,2535.9604640816974,1911.857142857143
730,4444956,44511003,JEWEL-OSCO,2017,2,,100500,,300.0,76665.0,41.974540000000005,-87.8107,300.0,79657.0,3857.573461271075,488.0,3239.7278846697127,364.25
731,151061512,44511003,JEWEL-OSCO,2017,2,,590500,,80.0,20444.0,41.8279,-87.68254,80.0,21241.0,2688.2776996927346,385.0,1556.64917338036,990.8
732,151163987,44511003,JEWEL-OSCO,2017,2,,60400,,150.0,38333.0,41.94827,-87.66441999999999,150.0,39828.0,2623.8200888679744,2591.0,2422.392803548667,884.4285714285714
733,151250073,44511003,JEWEL-OSCO,2017,2,,831100,,250.0,63888.0,41.94594,-87.70801,250.0,66380.0,3669.7251690836574,1061.0,3277.6353551237175,932.6
734,151289204,44511003,JEWEL-OSCO,2017,2,,842400,,300.0,76665.0,41.73607,-87.62693,300.0,79657.0,454.8683937621444,2322.0,177.43651985681166,1146.1666666666667
735,151318417,44511003,JEWEL-OSCO,2017,2,,241500,,158.0,40377.0,41.90656,-87.66942,158.0,41952.0,412.87864106737646,1392.0,2898.9025462861377,1140.6666666666667
736,151427689,44511003,JEWEL-OSCO,2017,2,,150300,,120.0,30666.0,41.96699,-87.76678000000001,120.0,31862.0,3200.5955613073997,1268.0,2499.1781643025074,762.8571428571429
737,151452166,44511003,JEWEL-OSCO,2017,2,,620200,,300.0,76665.0,41.79616,-87.72368,20.0,5310.0,500.0093334816155,373.0,625.1697889793353,592.8333333333334
738,151518339,44511003,JEWEL-OSCO,2017,2,,560800,,300.0,76665.0,41.794090000000004,-87.77067,300.0,79657.0,365.097573887556,740.0,814.302113359219,662.2
739,151553294,44511003,JEWEL-OSCO,2017,2,,30900,,220.0,56221.0,41.98234,-87.66911999999999,220.0,58415.0,2003.5631603439347,198.0,2495.1944087999586,1119.6666666666667
740,151553302,44511003,JEWEL-OSCO,2017,2,,30703,,200.0,51110.0,41.97898,-87.65953,200.0,53104.0,1960.401059162845,1037.0,2688.9416244944496,1091.6
741,151672458,44511003,JEWEL-OSCO,2017,2,,834200,,9.0,4174.0,41.75762,-87.58624,9.0,2389.0,757.9723153645143,2724.0,589.840944500714,893.4
742,151754447,44511003,JEWEL-OSCO,2017,2,,62600,,300.0,76665.0,41.935520000000004,-87.66973,300.0,79657.0,2623.8200888679744,2591.0,2422.392803548667,884.4285714285714
743,217220748,44511003,JEWEL-OSCO,2017,2,,50900,2003.0,224.0,57243.0,41.94338,-87.68799999999999,224.0,59477.0,2331.236607773085,709.0,2675.0162630263285,1382.5
744,242707073,44511003,JEWEL-OSCO,2017,2,,842900,1899.0,3.0,4174.0,41.86638,-87.66654,3.0,796.0,5159.938702220869,1149.0,1646.7784809404934,1547.8333333333333
745,242707644,44511003,JEWEL-OSCO,2017,2,,760802,,180.0,45999.0,41.965540000000004,-87.838,180.0,47794.0,606.0610245493265,671.0,2563.2876894305027,507.5
746,402474503,44511003,JEWEL-OSCO,2017,2,,750500,,200.0,51110.0,41.681309999999996,-87.66391,200.0,53104.0,163.26650205770838,745.0,261.1219498437905,952.4
747,415810161,44511003,JEWEL-OSCO,2017,2,,351000,,225.0,57499.0,41.83282,-87.61455,225.0,59742.0,179.4593934288483,1053.0,319.9815684513721,444.6
